currentTime,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,activity,fallDetected,fallPrediction,walkingDeterioration
23,0.33,0.9,0.22,76.32,56.31,20.06,1,0
24,0.34,0.88,0.24,74.66,54.21,20.83,1,0
25,0.34,0.87,0.23,74.88,55.71,21.62,1,0
26,0.34,0.87,0.27,72.5,51.5,21.62,1,0
1,0.26,0.78,0.52,56.58,26.57,18.26,1,0
2,0.27,0.79,0.51,57.24,27.61,18.6,1,0
3,0.3,0.77,0.52,55.64,30.2,21.7,1,0
4,0.13,0.89,0.41,65.48,17.1,7.99,1,0
5,0.16,0.88,0.38,66.99,23.63,10.53,1,0
6,0.38,0.92,0.21,77.11,60.64,22.14,1,0
7,0.3,0.8,0.45,61.04,33.69,20.25,1,0
8,0.05,1.13,0.26,77.18,11.98,2.76,1,0
9,0.2,0.8,0.42,62.1,24.84,13.77,1,0
10,0.45,0.84,0.29,70.92,57.01,28.04,1,0
11,0.34,0.84,0.46,61.35,36.09,21.71,1,0
12,0.23,0.85,0.44,62.81,27.38,14.9,1,0
13,0.37,0.92,0.34,69.55,46.89,21.72,1,0
14,0.39,0.74,0.4,61.77,44.43,27.76,1,0
15,0.17,0.95,0.27,73.87,32.15,10.3,1,0
16,0.31,0.69,0.27,68.88,49.64,24.44,1,0
17,0.34,0.13,0.47,14.93,36.25,70.02,1,0
18,0.2,0.63,0.02,88.59,85.43,17.15,1,1
19,0.13,0.16,-0.44,159.44,163.11,38.99,1,1
20,1.13,-0.77,0.08,-84.17,86.03,124.24,1,1
21,1.05,-0.25,-0.05,-100.62,92.56,103.43,1,1
22,0.98,-0.3,0.13,-65.9,82.26,106.91,1,0
23,0.98,-0.28,0.14,-63.43,81.87,105.95,1,0
24,0.98,-0.27,0.13,-65.43,82.71,105.64,1,0
25,0.97,-0.28,0.13,-66.04,82.65,106.19,1,0
26,0.98,-0.27,0.13,-64.09,82.26,105.64,1,0
27,0.98,-0.27,0.13,-64.09,82.26,105.64,1,0
28,0.98,-0.27,0.13,-64.09,82.26,105.64,1,0
29,0.99,-0.28,0.13,-66.04,82.82,105.83,1,0
30,0.98,-0.28,0.13,-64.72,82.26,106.07,1,0
31,0.97,-0.28,0.14,-63.43,81.74,106.19,1,0
32,0.98,-0.28,0.13,-64.72,82.26,106.07,1,0
33,0.97,-0.27,0.14,-62.1,81.74,105.33,1,0
1,0.37,0.79,0.42,61.87,41.04,24.95,1,0
2,0.35,0.83,0.36,66.54,44.37,23,1,0
