currentTime,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,activity,fallDetected,fallPrediction,walkingDeterioration
35,0.32,0.84,0.22,75.34,55.67,20.97,2,0,0,1
36,0.1,0.95,0.15,81.15,34.38,6.08,2,0,0,1
37,0.27,1.06,0.09,85.38,72.55,14.43,2,0,0,1
38,0.37,0.87,0.19,77.8,62.95,22.95,2,0,0,1
39,0.07,1,-0.05,92.68,123.69,4.02,2,0,0,1
40,0.23,1.04,0.17,80.61,52.82,12.3,2,0,0,1
41,0.33,0.82,0.13,81.34,69.15,21.8,2,0,0,1
42,0.09,0.91,0.11,83.12,40.6,5.91,2,0,0,1
43,0.16,1.02,0.15,81.75,46.47,8.68,2,0,0,1
44,0.38,0.88,0.17,78.89,65.38,23.2,2,0,0,1
45,0.14,0.93,0.18,79.06,38.05,8.6,2,0,0,1
46,0.05,0.92,0.22,76.65,12.09,2.91,2,0,0,1
47,0.33,0.92,0.03,88.06,84.56,19.59,2,0,0,1
48,0.32,0.82,0.28,71.08,48.72,21.33,2,0,0,1
49,0.07,0.85,0.16,79.6,24.23,4.72,2,0,0,1
50,0.31,0.88,0.06,85.91,78.69,19.65,2,0,0,1
51,0.36,0.88,0.21,76.56,59.59,22.15,2,0,0,1
52,0.11,0.99,0.13,82.82,41.19,6.29,2,0,0,1
53,0.29,0.97,-0.02,91.39,94.64,16.61,2,0,0,1
54,0.38,0.86,0.23,75.23,59.38,24.01,2,0,0,1
55,0.11,0.98,0.16,80.91,34.99,6.39,2,0,0,1
56,0.3,1.05,0.07,86.19,77.01,16.11,2,0,0,1
57,0.37,0.84,0.18,77.87,63.92,23.71,2,0,0,1
58,0.08,0.86,0.09,83.77,39.81,5.19,2,0,0,1
59,0.26,0.97,0.07,85.85,74.74,14.9,2,0,0,1
1,0.23,0.84,0.41,63.65,28.69,15.16,1,0,0,0
2,0.17,0.85,0.41,64.5,22.93,11.41,1,0,0,0
3,0.12,0.87,0.38,66.18,17.02,7.7,1,0,0,0
4,0.35,0.93,0.27,73.61,52.13,20.71,2,0,0,0
5,0.3,0.92,0.38,67.86,38.37,17.85,2,0,0,0
6,0.15,0.83,0.36,66.54,22.44,10.16,2,0,0,0
7,0.27,0.97,0.33,71.29,39.81,15.76,2,0,0,0
8,0.34,0.81,0.29,70.42,49.94,22.93,2,0,0,0
9,0.12,0.86,0.29,71.41,22.07,7.77,2,0,0,0
10,0.13,0.87,0.38,66.18,19.13,8.71,2,0,0,0
11,0.32,0.9,0.3,71.71,47.17,19.62,2,0,0,0
12,0.24,1,0.37,69.84,33.41,13.61,2,0,0,0
13,0.12,0.85,0.36,67.12,18.06,7.84,2,0,0,0
14,0.34,0.86,0.16,79.19,64.49,21.8,2,0,0,1
15,0.16,0.99,0.22,77.57,36.87,9.39,2,0,0,1
16,0.11,0.89,0.23,75.26,25.02,7,2,0,0,1
17,0.37,0.91,0.13,82.21,71.2,21.89,2,0,0,1
18,0.08,0.99,0.05,86.85,55.01,4.5,2,0,0,1
19,0.09,0.92,0.27,73.93,17.93,5.33,2,0,0,1
20,0.34,0.9,0.18,78.69,61.86,20.5,2,0,0,1
21,0.13,0.93,0.09,84.24,54.78,8.13,2,0,0,1
22,0.09,0.91,0.22,76.43,23.2,5.91,2,0,0,1
23,0.34,0.73,0.15,78.45,66.16,24.81,2,0,0,1
24,0.1,0.98,0.03,88.17,72.9,5.94,2,0,0,1
25,0.09,0.91,0.24,75.04,19.54,5.42,2,0,0,1
26,0.16,0.94,0.43,65.38,20.9,9.93,2,0,0,1
27,0.27,1.09,0.25,77.13,46.74,13.65,2,0,0,1
28,0.1,0.95,0.21,77.42,25.71,6.13,2,0,0,1
29,0.13,0.89,0.38,66.74,19.13,8.48,2,0,0,1
30,0.31,0.88,0.18,78.4,60.1,19.65,2,0,0,1
31,0.11,0.89,0.2,77.15,28.3,7,2,0,0,1
32,0.16,0.87,0.35,67.93,23.96,10.21,2,0,0,1
33,0.35,0.87,0.16,79.79,66.04,22.07,2,0,0,1
34,0.18,0.91,0.22,76.54,39.4,11.12,2,0,0,1
35,0.13,0.89,0.28,72.47,23.96,7.99,2,0,0,1
