currentTime,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,activity
10,0.43,0.51,-0.84,148.96,153.01,40.24,0
11,0.02,0.6,-0.91,146.42,178.52,2.23,0
12,0.15,0.46,-0.77,149.21,169.14,17.85,0
13,0.16,0.21,-0.92,167.11,169.91,37.87,0
14,0.17,0.26,-0.91,164.12,169.26,33.69,0
15,0.2,0.26,-0.91,164.25,167.94,37.15,0
16,0.19,0.25,-0.92,164.83,168.5,36.87,0
17,0.2,0.25,-0.93,164.95,168.14,38,0
18,0.19,0.25,-0.92,164.83,168.5,36.87,0
19,0.19,0.26,-0.93,164.5,168.6,36.03,0
20,0.18,0.24,-0.92,165.28,168.97,36.57,0
21,0.3,0.67,-0.7,135.98,156.88,23.84,0
22,0.07,0.67,-0.61,132.21,173.42,5.97,0
23,-0.02,0.71,-0.66,132.71,-178.64,-1.26,0
24,0.15,0.67,-0.03,92.66,101.89,12.46,0
25,0.32,0.81,0.26,72.4,51.17,21.52,0
26,0.28,0.84,0.36,66.93,38.05,18.43,0
27,0.25,0.91,0.27,73.66,43.26,15.42,0
28,0.23,0.87,0.25,73.92,43.15,15.12,0
29,0.27,0.96,0.12,83.05,66.19,15.45,0
30,0.23,0.95,0.09,84.81,69.23,13.48,0
31,0.23,0.95,0.13,82.47,61.93,13.92,0
32,0.24,0.92,0.14,81.33,59.86,14.72,0
33,0.21,0.93,0.07,85.67,71.57,12.78,0
34,-0.63,0.43,-0.54,141.44,-130.78,-55.49,0
35,-0.62,0.42,-0.55,142.74,-131.95,-55.65,0
36,-0.64,0.26,-0.68,159.23,-136.69,-68.08,0
37,-0.52,0.08,-0.74,173.99,-144.81,-81.51,0
38,-0.68,0.44,-0.55,141.74,-129.22,-57.23,0
39,-0.58,0.4,-0.69,149.91,-139.94,-55.43,0
40,-0.55,0.38,-0.67,150.33,-140.86,-55.01,0
41,-0.54,0.35,-0.68,152.65,-141.58,-56.89,0
42,-0.53,0.36,-0.7,152.93,-142.93,-55.92,0
43,-0.52,0.34,-0.71,154.2,-143.64,-56.71,0
44,-0.54,0.36,-0.71,153.18,-142.83,-56.31,0
45,-0.52,0.34,-0.71,154.2,-143.64,-56.71,0
46,-0.52,0.34,-0.72,154.95,-144.34,-56.92,0
47,-0.52,0.34,-0.71,154.2,-143.64,-56.71,0
48,-0.52,0.35,-0.7,153.43,-143.33,-56.11,0
49,-0.53,0.34,-0.71,154.2,-143.23,-57.09,0
50,-0.52,0.34,-0.72,154.44,-144.34,-56.31,0
51,-0.52,0.35,-0.71,153.69,-143.64,-56.11,0
52,-0.53,0.34,-0.72,154.44,-143.53,-57.09,0
53,-0.52,0.35,-0.72,153.94,-144.34,-55.71,0
54,-0.5,0.34,-0.73,155.19,-145.47,-56.1,0
55,-0.5,0.35,-0.73,154.42,-145.75,-54.89,0
56,-0.51,0.34,-0.72,154.44,-144.76,-55.91,0
57,-0.52,0.34,-0.73,154.92,-144.93,-56.31,0
58,-0.51,0.35,-0.73,154.42,-145.34,-55.3,0
59,-0.5,0.34,-0.73,154.68,-145.47,-55.49,0
60,-0.52,0.34,-0.73,154.92,-144.93,-56.31,0
61,-0.52,0.34,-0.73,154.68,-144.64,-56.31,0
62,-0.51,0.34,-0.73,154.68,-145.05,-55.91,0
63,-0.55,0.36,-0.7,152.93,-142.13,-56.69,0
64,-0.64,0.5,-0.53,136.74,-129.67,-52.03,0
65,0.18,0.48,-0.24,116.94,143.43,20.66,0
66,-0.41,0.82,-0.14,99.73,-108.76,-26.78,0
67,-0.17,0.88,-0.05,93.07,-105.26,-11.11,0
68,-0.48,0.95,0.25,75.3,-62.7,-26.94,0
69,-0.52,0.13,0.45,15.42,-49.12,-76.57,0
70,-0.45,0.86,0.63,53.63,-35.6,-27.8,0
71,0.32,0.8,0.55,55.54,30.36,21.9,0
72,0.16,0.39,0.37,46.77,23.05,21.8,0
73,0.92,0.13,0.38,18.43,67.86,82.28,0
74,0.98,-0.2,0.2,-45,78.25,101.75,0
75,1.09,-0.09,-0.42,-168.49,111.23,94.52,0
76,1,-0.07,-0.56,-172.87,119.36,94.02,0
77,0.95,-0.08,-0.09,-140.19,95.66,94.72,0
78,1.1,-0.08,-0.45,-170.22,112.36,94.06,0
79,0.7,0.55,-0.14,104.42,101.31,52.13,0
80,0.78,0.3,-0.45,145.62,119.68,68.69,0
81,0.62,0.24,-0.65,159.52,136.41,68.57,0
82,0.64,0.15,-0.74,168.69,139.2,76.95,0
83,0.63,0.15,-0.74,168.69,139.9,76.64,0
84,0.62,0.14,-0.76,169.49,140.84,77.16,0
85,0.59,0.14,-0.79,169.89,143.04,76.68,0
86,0.57,0.16,-0.79,168.25,144.14,73.95,0
87,0.57,0.15,-0.8,169.45,144.41,75.41,0
88,0.57,0.15,-0.8,169.45,144.41,75.41,0
89,0.57,0.14,-0.8,170.09,144.67,76.15,0
90,0.56,0.15,-0.8,169.55,145.05,75.22,0
91,0.56,0.14,-0.8,170.09,145.05,75.96,0
92,0.57,0.15,-0.8,169.45,144.41,75.41,0
93,0.57,0.14,-0.8,169.99,144.41,76.15,0
94,0.57,0.14,-0.8,169.99,144.41,76.15,0
95,0.57,0.14,-0.79,169.89,144.14,76.15,0
96,0.57,0.14,-0.8,169.99,144.41,76.15,0
97,0.57,0.14,-0.79,169.89,144.14,76.15,0
98,0.58,0.13,-0.8,170.63,144.3,77.06,0
99,0.57,0.13,-0.77,170.26,143.6,76.89,0
100,0.58,0.15,-0.8,169.55,144.3,75.6,0
101,0.58,0.14,-0.79,169.89,143.77,76.33,0
102,0.59,0.14,-0.8,169.99,143.31,76.68,0
103,0.58,0.16,-0.78,168.69,143.5,74.88,0
104,0.56,0.14,-0.8,169.99,144.78,75.96,0
105,0.58,0.16,-0.8,168.91,144.04,74.88,0
106,0.57,0.15,-0.8,169.45,144.41,75.41,0
107,0.57,0.15,-0.79,169.35,144.14,75.41,0
108,0.57,0.15,-0.79,169.35,144.14,75.41,0
109,0.73,0.23,-0.77,163.14,136.79,72.12,0
110,0.33,0.52,-0.43,129.38,142.63,32.08,3
111,0.73,0.48,-0.1,101.84,97.87,56.59,3
112,0.8,0.5,0.14,74.29,79.99,57.89,3
113,0.84,0.59,0.11,79.43,82.55,54.97,3
114,0.3,0.91,-0.06,93.91,101.89,17.99,3
115,0.13,0.69,-0.22,107.65,148.74,10.93,3
116,0.25,0.92,0.21,77.11,49.84,15.17,4
117,0.27,0.9,0.26,73.99,46.68,16.93,4
118,0.28,0.88,0.26,73.72,47.49,17.67,4
119,0.29,0.88,0.27,72.79,46.59,18.13,4
0,0.29,0.88,0.28,72.33,45.78,18.13,4
1,0.29,0.88,0.29,71.87,45,18.13,4
2,0.29,0.88,0.28,72.33,45.78,18.13,4
3,0.29,0.88,0.28,72.33,45.78,18.13,4
4,0.3,0.88,0.3,71.26,45,18.74,4
5,0.29,0.88,0.29,71.72,45,18.28,4
6,0.29,0.88,0.3,70.96,43.49,18.13,4
7,0.3,0.89,0.3,71.57,45,18.43,4
8,0.28,0.88,0.29,71.87,44.22,17.67,4
9,0.3,0.86,0.27,72.35,48.09,19.52,4
10,0.29,0.88,0.29,71.87,45,18.13,4
1,0.27,0.65,0.7,42.68,21.25,22.86,4
2,0.27,0.66,0.7,43.34,21.47,22.62,4
3,0.26,0.66,0.7,43.36,20.14,21.22,4
4,0.27,0.67,0.7,44.02,20.91,21.57,4
5,0.27,0.66,0.7,43.68,21.47,22.38,4
6,0.28,0.66,0.7,43.36,21.8,22.95,4
7,0.28,0.66,0.7,43.34,22.02,23.2,4
8,0.27,0.66,0.68,44.33,21.91,22.38,4
9,0.26,0.73,0.65,48.25,21.68,19.54,4
10,0.27,0.68,0.66,46.01,22.62,21.91,4
11,0.27,0.69,0.66,46.33,22.04,21.12,4
12,0.28,0.66,0.71,42.71,21.58,23.2,4
13,0.23,0.65,0.71,42.37,17.68,19.26,4
14,0.23,0.66,0.74,41.48,17.53,19.65,4
15,0.27,0.64,0.7,42.34,20.7,22.52,4
16,0.26,0.66,0.68,44.33,20.77,21.22,4
17,0.23,0.64,0.69,42.98,18.82,20.1,4
18,0.27,0.71,0.63,48.68,23.03,20.49,4
19,0.27,0.77,0.55,54.35,25.59,18.95,4
20,0.23,0.87,0.2,77.31,49.24,14.64,6
21,0.25,0.91,-0.3,108.14,139.9,15.42,6
22,0.23,0.83,-0.41,116.57,151.31,15.3,6
23,0.12,0.79,-0.53,123.95,167.56,8.45,6
