currentTime,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,activity,fallDetected
66,0.23,0.95,0,90,90,13.92,2,None
67,0.27,0.88,0.07,85.41,75.17,16.89,2,None
68,0.13,0.91,0.02,88.53,79.38,7.79,2,None
69,0.16,0.92,0.07,85.64,65.77,9.62,2,None
70,0.27,0.91,-0.05,92.96,99.73,16.79,2,None
71,0.3,0.91,0.08,85.07,75.62,18.58,2,None
72,0.13,0.91,0.01,89.51,86.42,7.85,2,None
73,0.15,0.94,0.11,83.35,53.62,9,2,None
74,0.28,0.91,0.01,89.51,88.41,17.24,2,None
75,0.3,0.91,0.08,85.11,75.26,17.99,2,None
76,0.17,1.05,0.05,87.01,72.35,9.32,2,None
77,0.27,0.92,0.02,89.03,86.73,16.52,2,None
78,0.36,0.9,0.09,84.54,76.55,21.8,2,None
79,0.21,0.94,0.05,87.14,77.47,12.68,2,None
80,0.19,0.92,0.11,83.23,59.74,11.5,2,None
81,0.3,0.88,-0.04,92.56,97.5,18.74,2,None
82,0.31,0.88,0.1,83.44,72,19.49,2,None
83,0.16,0.98,0.04,87.71,75.96,9.09,2,None
84,0.23,1,0.13,82.87,61.11,12.77,2,None
85,0.27,0.88,0.05,86.93,80.27,17.35,2,None
86,0.2,0.95,0.13,82.53,58.39,12.03,2,None
87,0.13,0.92,0.13,81.8,43.26,7.72,2,None
88,0.25,0.89,-0.06,94.01,104.04,15.68,2,None
89,0.26,0.98,0.09,84.56,70.02,14.68,2,None
90,0.13,0.93,0.1,83.77,50.91,7.66,2,None
91,0.16,1,0.05,86.87,70.71,8.88,2,None
92,0.25,0.91,0.13,82.15,63.43,15.42,2,None
93,0.05,0.85,-0.08,95.24,145.01,3.67,2,None
94,0.02,0.92,0.05,87.09,18.43,0.97,2,None
95,-0.12,1.01,-0.17,99.68,-145.71,-6.63,2,None
96,0.14,0.93,-0.02,90.96,96.34,8.6,2,None
97,-0.04,1.01,-0.09,94.87,-155.56,-2.22,2,None
98,-0.21,0.91,-0.19,101.69,-131.63,-13.1,2,None
99,0.07,0.84,-0.2,103.66,160.91,4.81,5,None
100,0.14,0.76,-0.42,119.1,161.57,10.51,5,None
101,0.04,0.61,-0.77,141.77,177.11,3.67,5,None
102,0.22,1.26,-0.49,111.37,156.04,9.87,5,None
103,0.17,0.95,0.08,85.28,65.56,10.3,4,Fall predicted!
104,0.25,0.91,0.18,78.88,54.29,15.3,4,None
105,0.23,0.93,0.15,80.93,57.65,14.15,4,None
106,0.25,0.94,0.16,80.54,57.99,14.93,4,None
107,0.24,0.93,0.13,82.34,62.7,14.6,4,None
108,0.23,0.93,0.12,82.82,63.43,14.15,4,None
109,0.25,0.92,0.13,81.8,62.02,15.17,4,None
110,0.24,0.92,0.12,82.76,64.18,14.72,4,None
111,0.25,0.91,0.05,87.06,79.38,15.3,4,None
112,0.37,0.86,-0.29,108.59,128.21,23.14,4,None
113,0.38,0.84,-0.29,108.91,127.06,24.4,4,None
114,0.31,0.86,0.02,88.44,85.71,19.98,4,None
115,0.36,0.88,0.2,77.04,60.52,22.15,4,None
116,0.59,0.67,0.44,56.93,53.62,41.47,4,None
117,0.52,0.3,0.8,20.43,33.3,60.44,4,None
118,0.2,-0.21,1.08,-11.07,10.67,136.08,4,Fall detected!
119,0.3,-0.07,0.96,-4.18,17.17,103.32,4,None
0,0.31,-0.13,0.98,-7.68,17.61,113.03,0,None
1,0.3,-0.15,0.95,-8.85,17.73,115.97,0,None
2,0.3,-0.18,0.97,-10.51,17.04,121.18,0,None
3,0.3,-0.15,0.96,-8.78,17.17,116.57,0,None
4,0.29,-0.16,0.95,-9.77,16.87,119.58,0,None
5,0.3,-0.16,0.95,-9.85,17.86,118.3,0,None
6,0.3,-0.16,0.95,-9.77,17.73,118.3,0,None
7,0.3,-0.18,0.96,-10.59,17.17,121.18,0,None
8,0.29,-0.17,0.95,-10.22,16.87,120.74,0,None
9,0.3,-0.16,0.95,-9.77,17.73,118.3,0,None
10,0.3,-0.17,0.96,-10.14,17.59,119.43,0,None
11,0.31,-0.16,0.96,-9.69,18.01,117.7,0,None
12,0.32,-0.17,0.96,-10.14,18.43,118.22,0,None
13,0.3,-0.16,0.95,-9.77,17.73,118.3,0,None
14,0.31,-0.16,0.96,-9.69,18.01,117.7,0,None
15,0.31,-0.16,0.96,-9.69,18.01,117.7,0,None
16,0.31,-0.16,0.96,-9.69,18.01,117.7,0,None
17,0.31,-0.16,0.95,-9.85,18.29,117.7,0,None
18,0.31,-0.17,0.95,-10.22,18.15,118.81,0,None
19,0.31,-0.16,0.96,-9.69,18.01,117.7,0,None
20,0.32,-0.18,0.95,-10.68,18.58,119.29,0,None
21,0.3,-0.16,0.97,-9.61,17.46,118.3,0,None
22,0.31,-0.17,0.97,-10.06,17.88,118.81,0,None
23,0.3,-0.17,0.95,-10.3,17.86,119.43,0,None
24,0.31,-0.16,0.95,-9.77,18.15,117.7,0,None
25,0.28,-0.16,0.96,-9.69,16.31,120.26,0,None
26,0.31,-0.17,0.96,-10.14,18.01,118.81,0,None
27,0.3,-0.16,0.95,-9.77,17.73,118.3,0,None
28,0.31,-0.16,0.95,-9.77,18.15,117.7,0,None
29,0.31,-0.18,0.96,-10.59,18.01,119.9,0,None
30,0.3,-0.16,0.95,-9.85,17.86,118.3,0,None
31,0.31,-0.16,0.96,-9.69,18.01,117.7,0,None
32,0.3,-0.17,0.96,-10.14,17.59,119.43,0,None
33,0.31,-0.17,0.96,-10.14,18.01,118.81,0,None
34,0.32,-0.17,0.96,-10.14,18.43,118.22,0,None
35,0.31,-0.17,0.96,-10.14,18.01,118.81,0,None
36,0.3,-0.16,0.95,-9.31,17.73,117.15,4,None
37,0.39,-0.03,0.96,-1.86,22.12,94.57,4,None
38,0.63,0.31,0.78,21.8,38.66,63.43,4,None
39,0.47,0.68,0.52,52.4,41.85,34.59,4,None
40,0.27,0.87,0.31,70.18,41.19,17.5,4,None
41,0.21,0.95,0.13,82.47,59.35,12.58,4,None
42,0.08,0.97,0.07,85.85,48.01,4.61,4,None
43,0.17,0.88,-0.12,97.63,124.29,11.11,4,None
44,0.16,0.88,-0.46,117.78,161.27,10.12,4,None
45,0.1,0.9,-0.33,110.06,162.8,6.45,4,None
46,0.19,0.91,-0.03,91.97,99.46,11.69,4,None
47,0.22,0.95,0.08,85.28,70.35,13.03,4,None
