currentTime,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,activity
17,0.16,0.8,0.41,63.21,21.99,11.52,2
18,0.2,0.81,0.5,58.39,22.11,14.04,2
19,0.39,0.77,0.42,61.14,42.8,27.03,2
20,0.39,0.75,0.55,53.51,35.15,27.51,2
21,0.23,0.85,0.33,68.93,34.62,14.9,2
22,0.21,0.77,0.52,56.04,22.25,15.4,2
23,0.34,0.9,0.35,68.63,43.7,20.5,2
24,0.3,0.86,0.32,69.56,43.57,19.52,2
25,0.44,0.95,0.32,71.28,53.79,24.84,2
26,0.17,0.91,0.3,72.01,30.07,10.65,2
27,0.3,0.8,0.41,63.21,36.16,20.25,2
28,0.36,0.88,0.48,61.43,37.02,22.33,2
29,0.27,0.85,0.39,65.36,34.22,17.32,2
30,0.29,0.86,0.12,82.23,67.93,18.59,5
31,0.27,0.86,-0.11,97.25,112.38,17.18,5
32,0.25,1.02,-0.09,94.8,108.97,13.73,5
33,0.26,0.91,-0.01,90.49,91.74,15.75,5
34,0.21,0.73,0.41,60.58,27,16.03,5
35,0.26,0.74,0.54,54.01,25.56,19.16,4
36,0.27,0.77,0.56,53.7,25.28,19.13,4
37,0.27,0.68,0.7,44.35,21.47,21.91,4
38,0.27,0.71,0.7,45.64,21.47,21.04,4
39,0.25,0.66,0.69,43.67,19.98,20.85,4
40,0.25,0.66,0.7,43.68,19.78,20.63,4
41,0.25,0.65,0.68,43.65,20.19,21.08,4
42,0.23,0.66,0.68,44.33,19.03,19.44,4
43,0.28,0.65,0.69,43.33,22.25,23.45,4
44,0.26,0.7,0.63,48.37,22.42,20.14,4
45,0.26,0.71,0.62,49.04,22.67,19.93,4
46,0.25,0.72,0.61,49.71,22.31,19.18,4
47,0.24,0.73,0.59,51.41,22.46,18.25,4
