currentTime,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,activity,fallDetected,prev_4,prev_3,prev_2,prev_1
16,0.32,0.9,0.14,81.1,66.3,19.62,9,FALSE,9,9,9,9
17,0.29,0.89,0.23,75.26,50.96,17.98,9,FALSE,9,9,9,9
18,0.32,0.91,0.09,84.58,74.98,19.47,9,FALSE,9,9,9,9
19,0.32,0.9,0.17,79.17,61.78,19.62,9,FALSE,9,9,9,9
20,-0.02,0.96,0.02,89.07,-56.31,-1.4,9,FALSE,9,9,9,9
21,0.22,0.94,0.08,85.24,70.35,13.13,9,FALSE,9,9,9,9
22,0.27,0.89,0.19,78.11,55.56,17.07,9,FALSE,9,9,9,9
23,0.09,1.1,0.06,86.75,53.97,4.46,9,FALSE,9,9,9,9
24,0.32,0.9,-0.02,91,92.79,19.62,9,FALSE,9,9,9,9
25,0.32,0.9,0.15,80.62,65.14,19.62,9,FALSE,9,9,9,9
26,0.05,0.91,0.08,85.07,34.99,3.45,9,FALSE,9,9,9,9
27,0.16,0.99,0.18,79.73,41.01,8.95,9,FALSE,9,9,9,9
28,0.37,0.91,0.23,75.5,57.45,22.06,9,FALSE,9,9,9,9
29,0.21,0.89,0.2,77.63,47.2,13.32,9,FALSE,9,9,9,9
30,0.14,0.86,0.25,73.78,29.36,9.29,9,FALSE,9,9,9,9
31,0.32,0.88,0.13,81.37,67.48,20.11,2,FALSE,9,9,9,9
32,0.33,0.94,0.21,77.32,57.26,19.29,2,FALSE,9,9,9,2
33,0.15,0.92,0.18,78.97,39.56,9.15,2,FALSE,9,9,2,2
34,0.29,0.86,0.16,79.19,60.42,18.59,2,FALSE,9,2,2,2
35,0.35,0.81,0.29,70.42,50.57,23.4,2,FALSE,2,2,2,2
36,0.27,0.99,0.29,73.76,43.41,15.41,2,FALSE,2,2,2,2
37,0.15,0.86,0.25,73.78,30.7,9.8,2,FALSE,2,2,2,2
38,0.24,0.84,0.3,70.14,38.48,16.02,2,FALSE,2,2,2,2
39,0.35,0.88,0.26,73.72,53.75,21.71,2,FALSE,2,2,2,2
40,0.15,0.92,0.31,71.27,25.41,9.15,2,FALSE,2,2,2,2
41,0.28,0.86,0.37,66.86,37.45,18.12,2,FALSE,2,2,2,2
42,0.3,0.83,0.39,64.75,37.23,19.72,1,FALSE,2,2,2,2
43,0.28,0.84,0.41,64.08,34.7,18.6,1,FALSE,2,2,2,1
44,0.29,0.84,0.38,65.39,37.06,19.08,1,FALSE,2,2,1,1
45,0.28,0.85,0.38,65.79,36.3,18.28,1,FALSE,2,1,1,1
46,0.28,0.84,0.38,66.04,36.87,18.43,1,FALSE,1,1,1,1
47,0.29,0.85,0.38,66.23,37.63,18.75,1,FALSE,1,1,1,1
48,0.27,0.83,0.37,66.09,36.67,18.27,1,FALSE,1,1,1,1
49,0.33,0.87,0.16,79.79,64.54,20.73,1,FALSE,1,1,1,1
50,0.23,0.87,-0.18,101.71,127.48,15.12,5,FALSE,1,1,1,1
51,0.12,0.64,-0.71,137.98,170.64,10.37,5,TRUE,1,1,1,5
52,0.11,0.64,-0.73,138.6,171.44,9.69,5,FALSE,1,1,5,5
53,0.16,0.62,-0.7,138.41,166.72,14.89,5,FALSE,1,5,5,5
54,0.23,0.68,0.16,76.43,54.09,18.43,5,TRUE,5,5,5,5
55,0.29,0.84,0.44,62.37,33.45,19.08,5,TRUE,5,5,5,5
56,0.22,0.64,0.72,41.71,16.93,18.85,5,FALSE,5,5,5,5
57,0.26,0.7,0.62,48.72,22.67,20.14,4,FALSE,5,5,5,5
58,0.26,0.69,0.64,47.02,21.92,20.56,4,FALSE,5,5,5,4
59,0.26,0.67,0.64,46.36,21.92,20.99,4,FALSE,5,5,4,4
