currentTime,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,activity
6,0.09,-0.63,0.82,-37.65,5.98,172.27,3
7,0.03,-0.62,0.82,-36.96,2.18,177.1,0
8,0.03,-0.63,0.84,-36.78,2.14,177.14,0
9,0.04,-0.6,0.84,-35.49,2.65,176.28,0
10,0.02,-0.61,0.83,-36.35,1.62,177.8,0
11,0.02,-0.6,0.82,-36.25,1.64,177.77,0
12,0.02,-0.6,0.82,-36.25,1.64,177.77,0
13,0.02,-0.59,0.83,-35.28,1.62,177.71,0
14,0.02,-0.61,0.83,-36.35,1.62,177.8,0
15,0.04,-0.63,0.81,-37.57,2.75,176.42,0
16,0.04,-0.62,0.83,-36.7,2.7,176.38,0
17,0.03,-0.61,0.8,-37.41,2.25,177.06,0
18,0.02,-0.61,0.83,-36.35,1.62,177.8,0
19,0.03,-0.6,0.83,-36,2.16,177.03,0
20,0.03,-0.62,0.82,-36.96,2.18,177.1,0
21,0.03,-0.63,0.83,-37.04,2.16,177.14,0
22,0.03,-0.62,0.82,-36.96,2.18,177.1,0
23,0.02,-0.62,0.82,-36.96,1.64,177.83,0
24,0.02,-0.63,0.82,-37.3,1.09,178.57,0
25,0.11,-0.61,0.84,-36.09,7.45,169.82,0
26,0.19,-0.63,0.82,-37.65,12.88,163.5,0
27,0.31,-0.55,0.83,-33.81,20.67,150.6,3
28,0.45,-0.05,0.9,-3.48,26.76,96.88,3
29,0.45,0.3,0.88,19.2,27.38,56.08,3
30,0.18,0.66,0.68,44.33,14.81,15.14,3
31,0.11,0.82,0.51,58.24,12.15,7.59,3
32,0.09,0.87,0.44,63.23,12.09,6.17,3
33,0.18,0.86,0.3,70.48,30.53,11.81,3
34,0.32,0.82,0.41,63.65,38.25,21.33,3
35,0.31,0.93,0.3,72.29,46.47,18.58,3
36,0.28,0.89,0.2,77.15,54.16,17.53,3
37,0.18,0.86,0.38,66.43,25.6,11.81,3
38,0.15,0.82,0.43,62.35,19.06,10.26,4
39,0.14,0.84,0.45,61.76,17.24,9.46,4
40,0.16,0.87,0.45,62.82,19.33,10.21,4
41,0.2,0.87,0.45,62.82,23.68,12.69,4
42,0.16,0.86,0.43,63.43,20.9,10.81,4
43,0.16,0.86,0.42,63.85,21.25,10.81,4
44,0.16,0.88,0.42,64.26,20.32,10.12,4
45,0.16,0.86,0.41,64.27,20.67,10.3,4
46,0.16,0.87,0.41,64.48,21.61,10.71,4
47,0.16,0.87,0.41,64.48,21.61,10.71,4
48,0.16,0.87,0.4,65.32,22.38,10.71,4
49,0.17,0.86,0.41,64.27,22.54,11.31,4
50,0.16,0.87,0.39,65.75,22.78,10.71,4
51,0.18,0.87,0.41,64.48,23.46,11.71,4
52,0.21,0.84,0.5,59.12,22.87,14.16,4
53,0.19,0.8,0.5,58.14,20.56,13.12,4
54,0.18,0.78,0.52,56.18,18.95,12.95,4
55,0.18,0.79,0.52,56.44,18.95,12.83,4
56,0.19,0.77,0.53,55.52,19.44,13.63,4
