currentTime,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,activity,fallDetected
21,0.28,0.7,0.6,49.45,25.06,21.8,1,FALSE
22,0.26,0.72,0.58,51.19,24.03,19.73,1,FALSE
23,0.32,0.73,0.55,52.64,30,23.79,1,FALSE
24,0.3,0.73,0.58,51.49,27.79,22.75,1,FALSE
25,0.02,0.87,0.33,69.27,4.09,1.55,2,FALSE
26,0.22,0.7,0.59,49.88,20.47,17.46,2,FALSE
27,0.39,0.85,0.39,65.36,45,24.64,2,FALSE
28,0.3,0.98,0.53,61.45,29.84,17.33,2,FALSE
29,0.22,0.76,0.5,56.58,23.63,16.1,2,FALSE
30,0.39,0.93,0.44,64.8,41.76,22.79,2,FALSE
31,0.32,0.94,0.57,58.69,29.32,18.86,2,FALSE
32,0.17,0.8,0.48,58.71,19.54,12.17,2,FALSE
33,0.38,0.79,0.31,68.39,50.77,25.88,2,FALSE
34,0.41,0.75,0.42,60.64,43.92,28.44,2,FALSE
35,0.22,0.82,0.4,64.09,28.77,14.93,2,FALSE
36,0.44,0.89,0.14,81.03,72.18,26.16,2,FALSE
37,0.38,0.81,0.39,64.32,44.42,25.23,2,FALSE
38,0.24,0.77,0.33,67.01,36.43,17.39,2,FALSE
39,0.41,0.83,0.15,79.84,69.93,26.13,2,FALSE
40,0.38,0.89,0.54,58.82,35.38,23.26,2,FALSE
41,0.2,0.72,0.46,57.33,23.78,15.78,2,FALSE
42,0.37,0.77,0.34,66.04,46.89,25.4,2,FALSE
43,0.18,0.79,0.45,60.13,21.63,12.83,2,FALSE
44,0.28,0.93,0.35,69.29,38.66,16.83,2,FALSE
45,0.4,0.78,0.34,66.25,49.21,27.02,2,FALSE
46,0.3,0.85,0.38,65.79,38.52,19.69,2,FALSE
47,0.22,0.81,0.4,63.88,28.77,15.07,2,FALSE
48,0.47,0.92,0.15,80.85,72.43,26.95,2,FALSE
49,0.23,0.82,0.37,65.89,31.68,15.44,2,FALSE
50,0.23,0.84,0.41,64.29,29.15,15.03,2,FALSE
51,0.42,0.81,0.27,71.4,57.05,27.44,2,FALSE
52,0.26,0.77,0.41,62.29,32.4,18.43,2,FALSE
53,0.23,0.81,0.42,62.56,29.05,16.09,2,FALSE
54,0.45,0.81,0.29,70.42,57.46,29.15,2,FALSE
55,0.27,0.87,0.41,64.9,33.18,17.03,2,FALSE
56,0.25,0.9,0.34,69.5,36.66,15.55,2,FALSE
57,0.41,0.77,0.27,70.35,56.56,28.41,2,FALSE
58,0.26,0.79,0.38,64.58,34.51,18.09,2,FALSE
59,0.33,0.99,0.32,72.11,45.69,18.3,2,FALSE
0,0.45,0.8,0.25,72.58,60.69,29.2,2,FALSE
1,0.11,0.73,0.33,65.7,18.43,8.56,2,FALSE
2,0.41,0.93,0.33,70.56,51.07,23.6,2,FALSE
3,0.41,0.81,0.29,70.42,55.08,27,2,FALSE
4,0.19,0.95,0.52,61.03,19.71,11.22,9,FALSE
5,0.43,0.84,0.2,76.46,64.7,26.99,9,FALSE
6,0.35,0.91,0.38,67.28,42.56,21.04,9,FALSE
7,0.14,0.8,0.45,60.8,17.53,10.01,9,FALSE
8,0.46,0.83,0.24,73.7,62.28,29.1,9,FALSE
9,0.41,0.81,0.29,70.42,55.08,27,9,FALSE
10,0.03,0.65,0.3,64.83,5.86,2.76,9,FALSE
11,0.36,0.85,0.3,70.31,49.71,22.88,9,FALSE
12,0.41,0.81,0.32,68.48,51.75,26.57,9,FALSE
13,0.19,0.65,0.48,53.69,21.48,16.13,9,FALSE
14,0.46,0.86,0.16,79.19,70.41,28.21,9,FALSE
15,0.27,0.74,0.42,60.39,32.2,19.69,9,FALSE
16,0.4,1.05,0.45,66.96,41.82,20.84,9,FALSE
17,0.42,0.71,0.26,70.07,58.57,30.69,9,FALSE
18,0.24,0.95,0.47,63.81,27.32,14.26,9,FALSE
19,0.46,1.02,0.23,77.52,63.82,24.25,9,FALSE
